cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
200    143    add             32     13   19       0     
201    144    sext            32     13   19       0     
202    145    getelementptr   64     15   49       0     
203    146    getelementptr   64     15   49       0     
204    147    load            64     15   49       0     
205    148    fpext           32     32   0        0     
206    149    call            64     14   50       0     
207    163    load            64     0    51       13    
208    164    add             32     0    1        31    
209    165    store           32     1    1        30    
210    157    load            64     0    48       16    
211    158    icmp            32     0    0        32    
212    159    br              1      0    0        1     
213    167    ret             32     0    8        24    
