cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
195    18     alloca          64     0    54       10    
196    19     alloca          64     0    50       14    
197    20     trunc           8      0    8        0     
198    25     load            64     0    47       17    
199    26     load            32     0    0        32    
200    27     load            32     0    0        32    
201    28     icmp            1      0    0        1     
202    32     load            8      0    8        0     
203    33     load            64     0    64       0     
204    34     load            32     0    20       12    
205    35     sext            64     0    51       13    
206    36     load            64     0    50       14    
207    37     getelementptr   64     0    50       14    
208    39     load            64     9    55       0     
209    40     load            32     1    25       6     
210    41     add             32     1    25       6     
211    42     load            64     0    53       11    
212    46     load            8      0    0        8     
213    47     sext            32     0    0        32    
214    573    call            32     0    0        32    
215    574    trunc           8      0    0        8     
216    685    load            32     0    0        32    
217    687    load            8      0    0        8     
218    688    icmp            1      0    0        1     
219    690    load            32     7    23       2     
220    691    add             32     8    23       1     
221    539    load            8      0    0        8     
222    540    icmp            1      0    0        1     
223    542    load            32     0    19       13    
224    543    sext            64     0    52       12    
225    544    load            64     0    50       14    
226    545    getelementptr   64     0    50       14    
227    546    load            8      0    0        8     
228    547    sext            32     0    0        32    
229    548    load            8      0    0        8     
230    549    sext            32     0    0        32    
231    550    icmp            1      0    0        1     
232    560    phi             1      1    0        0     
233    695    load            64     0    49       15    
234    15     alloca          64     0    50       14    
235    16     alloca          64     0    51       13    
236    17     alloca          64     0    53       11    
237    18     alloca          64     1    50       13    
238    19     alloca          64     0    48       16    
239    20     trunc           8      0    8        0     
240    25     load            64     0    55       9     
241    26     load            32     0    24       8     
242    27     load            32     0    1        31    
243    28     icmp            1      0    1        0     
244    32     load            8      0    8        0     
245    33     load            64     10   53       1     
246    34     load            32     1    19       12    
247    35     sext            64     1    50       13    
248    36     load            64     0    50       14    
249    37     getelementptr   64     1    48       15    
250    39     load            64     0    48       16    
251    40     load            32     0    0        32    
252    41     add             32     0    0        32    
253    42     load            64     0    53       11    
254    46     load            8      0    1        7     
255    47     sext            32     0    1        31    
256    696    call            32     0    1        31    
257    697    trunc           8      0    1        7     
258    699    load            8      0    8        0     
259    700    sext            32     0    32       0     
260    701    icmp            1      0    1        0     
261    703    load            32     0    31       1     
262    704    sext            64     0    63       1     
263    705    load            64     0    58       6     
264    706    getelementptr   64     0    59       5     
265    707    load            8      0    8        0     
266    708    sext            32     0    32       0     
267    709    load            8      0    8        0     
268    710    sext            32     0    32       0     
269    711    icmp            1      0    1        0     
270    715    load            8      0    1        7     
271    716    icmp            1      0    1        0     
272    720    load            32     0    2        30    
273    724    load            32     0    2        30    
274    733    call            32     0    2        30    
275    735    load            32     0    2        30    
276    736    icmp            1      0    1        0     
277    737    zext            32     0    1        31    
278    1396   call            32     0    1        31    
279    1397   trunc           8      0    1        7     
280    1399   load            8      0    1        7     
281    1400   icmp            1      0    1        0     
282    1406   load            32     3    0        29    
283    1407   icmp            1      1    0        0     
284    1409   load            64     7    57       0     
285    1410   getelementptr   64     6    58       0     
286    1411   load            64     7    57       0     
287    1412   getelementptr   64     13   51       0     
288    831    alloca          64     0    48       16    
289    832    alloca          64     1    54       9     
290    833    alloca          64     0    49       15    
291    836    load            64     7    57       0     
292    837    load            64     15   49       0     
293    739    alloca          64     1    52       11    
294    740    alloca          64     0    54       10    
295    741    alloca          64     0    53       11    
296    742    alloca          64     1    51       12    
297    743    alloca          64     0    49       15    
298    744    alloca          64     0    52       12    
299    745    alloca          64     0    56       8     
300    746    alloca          64     1    50       13    
301    747    alloca          64     0    52       12    
302    750    trunc           8      0    8        0     
303    754    load            32     10   22       0     
304    757    load            32     0    21       11    
305    758    sext            64     0    53       11    
306    759    load            64     0    56       8     
307    760    getelementptr   64     0    56       8     
308    761    load            8      0    0        8     
309    762    sext            32     0    0        32    
310    763    load            8      0    0        8     
311    764    sext            32     0    0        32    
312    765    icmp            1      0    1        0     
313    767    load            32     0    21       11    
