cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
195    47     getelementptr   64     3    52       9     
196    49     load            64     0    58       6     
197    50     getelementptr   64     0    58       6     
198    51     load            64     0    0        64    
199    52     icmp            1      0    1        0     
200    54     load            64     0    64       0     
201    55     load            64     0    64       0     
202    56     getelementptr   64     0    64       0     
203    57     load            64     0    64       0     
204    58     getelementptr   64     0    64       0     
205    66     load            64     0    64       0     
206    67     load            64     0    64       0     
207    68     getelementptr   64     0    64       0     
208    70     load            64     2    47       15    
209    71     getelementptr   64     2    49       13    
210    73     load            64     11   53       0     
211    74     getelementptr   64     11   53       0     
212    75     load            32     2    30       0     
213    76     add             32     3    29       0     
214    78     load            64     7    57       0     
215    463    call            64     6    58       0     
216    466    load            32     31   1        0     
217    467    add             32     31   1        0     
218    454    load            32     28   0        4     
219    455    load            32     2    0        30    
220    456    icmp            1      1    0        0     
221    458    load            32     0    0        32    
222    408    alloca          64     0    47       17    
223    409    alloca          64     0    52       12    
224    411    load            32     32   0        0     
225    412    add             32     32   0        0     
226    0      alloca          64     2    47       15    
227    1      alloca          64     0    54       10    
228    3      call            64     0    63       1     
229    4      bitcast         64     0    63       1     
230    6      load            64     0    52       12    
231    7      getelementptr   64     0    51       13    
232    9      load            64     0    52       12    
233    10     getelementptr   64     0    51       13    
234    12     load            32     32   0        0     
235    13     load            64     13   51       0     
236    14     getelementptr   64     14   50       0     
237    16     load            64     1    63       0     
238    414    call            64     1    63       0     
239    416    load            32     0    0        32    
240    417    trunc           16     0    0        16    
241    418    load            64     0    50       14    
242    419    getelementptr   64     0    50       14    
243    421    load            32     3    10       19    
244    422    add             32     2    10       20    
245    424    load            64     1    63       0     
246    459    call            64     1    63       0     
247    461    load            64     8    56       0     
248    462    load            64     1    63       0     
249    33     alloca          64     0    51       13    
250    34     alloca          64     1    56       7     
251    37     load            64     0    0        64    
252    38     icmp            1      1    0        0     
253    43     load            64     0    49       15    
254    44     getelementptr   64     0    50       14    
255    45     load            64     0    0        64    
256    46     load            64     4    51       9     
257    47     getelementptr   64     3    50       11    
258    49     load            64     0    58       6     
259    50     getelementptr   64     0    58       6     
260    51     load            64     0    0        64    
261    52     icmp            1      0    1        0     
262    54     load            64     0    64       0     
263    55     load            64     0    64       0     
264    56     getelementptr   64     0    64       0     
265    57     load            64     0    64       0     
266    58     getelementptr   64     0    64       0     
267    66     load            64     0    64       0     
268    67     load            64     0    64       0     
269    68     getelementptr   64     0    64       0     
270    70     load            64     1    51       12    
271    71     getelementptr   64     1    50       13    
272    73     load            64     11   53       0     
273    74     getelementptr   64     12   52       0     
274    75     load            32     3    29       0     
275    76     add             32     2    30       0     
276    78     load            64     8    56       0     
277    463    call            64     4    60       0     
278    466    load            32     31   1        0     
279    467    add             32     31   1        0     
280    454    load            32     28   0        4     
281    455    load            32     2    0        30    
282    456    icmp            1      1    0        0     
283    458    load            32     0    0        32    
284    408    alloca          64     0    49       15    
285    409    alloca          64     0    51       13    
286    411    load            32     32   0        0     
287    412    add             32     32   0        0     
288    0      alloca          64     1    49       14    
289    1      alloca          64     0    49       15    
290    3      call            64     0    63       1     
291    4      bitcast         64     0    63       1     
292    6      load            64     1    50       13    
293    7      getelementptr   64     1    48       15    
294    9      load            64     0    52       12    
295    10     getelementptr   64     0    51       13    
296    12     load            32     32   0        0     
297    13     load            64     13   51       0     
298    14     getelementptr   64     13   51       0     
299    16     load            64     1    63       0     
300    414    call            64     1    63       0     
301    416    load            32     0    0        32    
302    417    trunc           16     0    0        16    
303    418    load            64     0    51       13    
304    419    getelementptr   64     1    51       12    
305    421    load            32     2    10       20    
306    422    add             32     3    10       19    
307    424    load            64     2    62       0     
308    459    call            64     1    63       0     
309    461    load            64     8    56       0     
310    462    load            64     2    62       0     
311    33     alloca          64     0    51       13    
312    34     alloca          64     1    54       9     
313    37     load            64     0    0        64    
314    38     icmp            1      1    0        0     
315    43     load            64     0    50       14    
316    44     getelementptr   64     0    49       15    
317    45     load            64     0    0        64    
318    46     load            64     4    51       9     
319    47     getelementptr   64     3    52       9     
320    49     load            64     0    57       7     
321    50     getelementptr   64     0    58       6     
322    51     load            64     0    0        64    
323    52     icmp            1      0    1        0     
324    54     load            64     0    64       0     
325    55     load            64     0    64       0     
326    56     getelementptr   64     0    64       0     
327    57     load            64     0    64       0     
328    58     getelementptr   64     0    64       0     
329    66     load            64     0    64       0     
330    67     load            64     0    64       0     
331    68     getelementptr   64     0    64       0     
332    70     load            64     2    50       12    
333    71     getelementptr   64     2    48       14    
334    73     load            64     13   51       0     
335    74     getelementptr   64     10   54       0     
336    75     load            32     2    30       0     
337    76     add             32     3    29       0     
338    78     load            64     7    57       0     
339    463    call            64     8    56       0     
340    466    load            32     31   1        0     
341    467    add             32     31   1        0     
342    454    load            32     28   0        4     
343    455    load            32     2    0        30    
344    456    icmp            1      1    0        0     
345    458    load            32     0    0        32    
346    408    alloca          64     0    51       13    
347    409    alloca          64     0    52       12    
348    411    load            32     32   0        0     
349    412    add             32     32   0        0     
350    0      alloca          64     3    50       11    
351    1      alloca          64     0    52       12    
352    3      call            64     0    64       0     
353    4      bitcast         64     0    64       0     
354    6      load            64     0    51       13    
355    7      getelementptr   64     0    50       14    
356    9      load            64     0    50       14    
357    10     getelementptr   64     0    49       15    
358    12     load            32     32   0        0     
359    13     load            64     13   51       0     
360    14     getelementptr   64     15   49       0     
361    16     load            64     0    64       0     
362    414    call            64     0    64       0     
363    416    load            32     0    0        32    
364    417    trunc           16     0    0        16    
365    418    load            64     0    51       13    
366    419    getelementptr   64     1    51       12    
367    421    load            32     3    10       19    
368    422    add             32     3    10       19    
369    424    load            64     0    64       0     
370    459    call            64     0    64       0     
371    461    load            64     6    58       0     
372    462    load            64     0    64       0     
373    33     alloca          64     0    53       11    
374    34     alloca          64     1    55       8     
375    37     load            64     0    0        64    
376    38     icmp            1      1    0        0     
377    43     load            64     0    49       15    
378    44     getelementptr   64     0    49       15    
379    45     load            64     0    0        64    
380    46     load            64     4    51       9     
381    47     getelementptr   64     3    49       12    
382    49     load            64     0    57       7     
383    50     getelementptr   64     0    58       6     
384    51     load            64     0    0        64    
385    52     icmp            1      0    1        0     
386    54     load            64     0    64       0     
387    55     load            64     0    64       0     
388    56     getelementptr   64     0    64       0     
