cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      486    store           32     0    0        32    
1      487    store           32     2    0        30    
2      488    store           64     4    60       0     
3      491    br              1      1    0        0     
4      496    call            64     0    64       0     
5      476    store           32     32   0        0     
6      477    store           32     1    9        22    
7      497    store           32     0    32       0     
8      501    br              1      0    1        0     
9      508    call            64     13   50       1     
10     509    call            32     0    32       0     
11     448    store           32     0    32       0     
12     449    store           32     23   9        0     
13     450    call            64     0    64       0     
14     19     call            64     0    31       33    
15     21     store           64     0    53       11    
16     24     store           64     0    0        64    
17     27     store           64     0    64       0     
18     30     store           32     1    31       0     
19     32     ret             64     0    55       9     
20     451    store           64     0    55       9     
21     452    store           32     31   1        0     
22     457    br              1      1    0        0     
23     459    call            32     9    7        16    
24     410    store           32     9    7        16    
25     413    store           32     32   0        0     
26     414    call            32     32   0        0     
27     2      store           32     32   0        0     
28     3      call            64     0    31       33    
29     5      store           64     0    63       1     
30     8      store           64     0    0        64    
31     11     store           64     0    0        64    
32     15     store           32     32   0        0     
33     17     ret             64     0    63       1     
34     415    store           64     0    63       1     
35     420    store           16     9    7        0     
36     423    store           32     2    9        21    
37     425    ret             64     15   49       0     
38     460    store           64     14   50       0     
39     463    call            64     1    54       9     
40     35     store           64     0    55       9     
41     36     store           64     13   51       0     
42     39     br              1      0    0        1     
43     48     store           64     0    64       0     
44     53     br              1      0    1        0     
45     64     store           64     6    58       0     
46     69     store           64     12   52       0     
47     72     store           64     0    0        64    
48     77     store           32     2    30       0     
49     79     ret             64     6    58       0     
50     464    store           64     7    57       0     
51     468    store           32     31   1        0     
52     457    br              1      1    0        0     
53     459    call            32     0    0        32    
54     410    store           32     0    0        32    
55     413    store           32     32   0        0     
56     414    call            32     32   0        0     
57     2      store           32     32   0        0     
58     3      call            64     0    31       33    
59     5      store           64     0    64       0     
60     8      store           64     0    0        64    
61     11     store           64     0    0        64    
62     15     store           32     32   0        0     
63     17     ret             64     0    64       0     
64     415    store           64     0    64       0     
65     420    store           16     0    0        16    
66     423    store           32     2    9        21    
67     425    ret             64     0    64       0     
68     460    store           64     0    64       0     
69     463    call            64     7    57       0     
70     35     store           64     7    57       0     
71     36     store           64     0    64       0     
72     39     br              1      1    0        0     
73     48     store           64     0    0        64    
74     53     br              1      0    1        0     
75     59     store           64     0    64       0     
76     69     store           64     0    64       0     
77     72     store           64     0    0        64    
78     77     store           32     2    30       0     
79     79     ret             64     6    58       0     
80     464    store           64     8    56       0     
81     468    store           32     31   1        0     
82     457    br              1      1    0        0     
83     459    call            32     0    0        32    
84     410    store           32     0    0        32    
85     413    store           32     32   0        0     
86     414    call            32     32   0        0     
87     2      store           32     32   0        0     
88     3      call            64     0    31       33    
89     5      store           64     0    62       2     
90     8      store           64     0    0        64    
91     11     store           64     0    0        64    
92     15     store           32     32   0        0     
93     17     ret             64     3    61       0     
94     415    store           64     3    61       0     
95     420    store           16     0    0        16    
96     423    store           32     3    9        20    
97     425    ret             64     3    61       0     
98     460    store           64     3    61       0     
99     463    call            64     5    59       0     
100    35     store           64     6    58       0     
101    36     store           64     2    62       0     
102    39     br              1      1    0        0     
103    48     store           64     0    0        64    
104    53     br              1      0    1        0     
105    59     store           64     0    64       0     
106    69     store           64     0    64       0     
107    72     store           64     0    0        64    
108    77     store           32     3    29       0     
109    79     ret             64     8    56       0     
110    464    store           64     7    57       0     
111    468    store           32     31   1        0     
112    457    br              1      1    0        0     
113    459    call            32     0    0        32    
114    410    store           32     0    0        32    
115    413    store           32     32   0        0     
116    414    call            32     32   0        0     
117    2      store           32     32   0        0     
118    3      call            64     0    31       33    
119    5      store           64     0    63       1     
120    8      store           64     0    0        64    
121    11     store           64     0    0        64    
122    15     store           32     32   0        0     
123    17     ret             64     1    63       0     
124    415    store           64     1    63       0     
125    420    store           16     0    0        16    
126    423    store           32     2    9        21    
127    425    ret             64     1    63       0     
128    460    store           64     1    63       0     
129    463    call            64     4    60       0     
130    35     store           64     5    59       0     
131    36     store           64     1    63       0     
132    39     br              1      1    0        0     
133    48     store           64     0    0        64    
134    53     br              1      0    1        0     
135    59     store           64     0    64       0     
136    69     store           64     0    64       0     
137    72     store           64     0    0        64    
138    77     store           32     2    30       0     
139    79     ret             64     8    56       0     
140    464    store           64     5    59       0     
141    468    store           32     31   1        0     
142    457    br              1      1    0        0     
143    459    call            32     0    0        32    
144    410    store           32     0    0        32    
145    413    store           32     32   0        0     
146    414    call            32     32   0        0     
147    2      store           32     32   0        0     
148    3      call            64     0    31       33    
149    5      store           64     0    63       1     
150    8      store           64     0    0        64    
151    11     store           64     0    0        64    
152    15     store           32     32   0        0     
153    17     ret             64     1    63       0     
154    415    store           64     1    63       0     
155    420    store           16     0    0        16    
156    423    store           32     3    9        20    
157    425    ret             64     1    63       0     
158    460    store           64     2    62       0     
